ArNS Domain,Process ID,Owner ID,Custom Eval Message Count,Used Permaweb Deploy,ArNS Domain Link,Process ID Link,Owner Link
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,1_X5jO6I83ZZ0occOBq49Nq4ZzfjrJayzVbuqY8nxss,pWobQ51XxUL-ZTDzjiXbjyVk_GWf6uwGtFQwkX3tuog,0,,https://xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx.arweave.net,https://www.ao.link/#/entity/1_X5jO6I83ZZ0occOBq49Nq4ZzfjrJayzVbuqY8nxss,https://www.ao.link/#/entity/pWobQ51XxUL-ZTDzjiXbjyVk_GWf6uwGtFQwkX3tuog
learn-blockchain,PLs6cwh7oy5e4FvDJI-TSeonleaFKywPuCNE5A-kBfg,31LPFYoow2G7j-eSSsrIh8OlNaARZ84-80J-8ba68d8,0,,https://learn-blockchain.arweave.net,https://www.ao.link/#/entity/PLs6cwh7oy5e4FvDJI-TSeonleaFKywPuCNE5A-kBfg,https://www.ao.link/#/entity/31LPFYoow2G7j-eSSsrIh8OlNaARZ84-80J-8ba68d8
waytoagi,9jxlsK1Le9RV2NrRKNKrfCty2z7NRMrbznb28qPU-vc,p1o7oTlR0TEQ8YDHLD2yxHeuNZG_lb18cjkrICrJ0o4,0,,https://waytoagi.arweave.net,https://www.ao.link/#/entity/9jxlsK1Le9RV2NrRKNKrfCty2z7NRMrbznb28qPU-vc,https://www.ao.link/#/entity/p1o7oTlR0TEQ8YDHLD2yxHeuNZG_lb18cjkrICrJ0o4
cleverlpc,xFf7gApDDmSwxUTX1jvuCD44T1IFSTlC7e1BorETf1c,GdtQquK867988DikyrJBnmJPcIItIXh5GuCX_MmhkQE,0,,https://cleverlpc.arweave.net,https://www.ao.link/#/entity/xFf7gApDDmSwxUTX1jvuCD44T1IFSTlC7e1BorETf1c,https://www.ao.link/#/entity/GdtQquK867988DikyrJBnmJPcIItIXh5GuCX_MmhkQE
perma-premium,H5m_doNePnw5wBsP3UrMOogzgCxR6iGtz9qWCBg6gwM,PNFfEdCsgSNb7GZvyKkb4Jo0Wfg7wFUEBqymz787Z7A,0,,https://perma-premium.arweave.net,https://www.ao.link/#/entity/H5m_doNePnw5wBsP3UrMOogzgCxR6iGtz9qWCBg6gwM,https://www.ao.link/#/entity/PNFfEdCsgSNb7GZvyKkb4Jo0Wfg7wFUEBqymz787Z7A
craft,P66edK5nwzKPkgy2iNUwAOhiHgOPhH6RKlNXYF9TrZY,7waR8v4STuwPnTck1zFVkQqJh5K9q9Zik4Y5-5dV7nk,0,,https://craft.arweave.net,https://www.ao.link/#/entity/P66edK5nwzKPkgy2iNUwAOhiHgOPhH6RKlNXYF9TrZY,https://www.ao.link/#/entity/7waR8v4STuwPnTck1zFVkQqJh5K9q9Zik4Y5-5dV7nk
arfleet-launch,NKWYWKg-MwEPB8gv4Kz2tiZbNuqappTiWU-KEBrIOuo,jnbRhoH3JGTdRz0Y9X-gh-eosrbIpdxs58DPTtlOVE8,0,,https://arfleet-launch.arweave.net,https://www.ao.link/#/entity/NKWYWKg-MwEPB8gv4Kz2tiZbNuqappTiWU-KEBrIOuo,https://www.ao.link/#/entity/jnbRhoH3JGTdRz0Y9X-gh-eosrbIpdxs58DPTtlOVE8
thiago,IyjqOErJOwAhVNCaDfDmZAMJHsyYM-vdV-algNqWF1M,utfXmEX9YWo_8N498NJ9GNt_aCjOT7UF1ciyRvOwI48,0,,https://thiago.arweave.net,https://www.ao.link/#/entity/IyjqOErJOwAhVNCaDfDmZAMJHsyYM-vdV-algNqWF1M,https://www.ao.link/#/entity/utfXmEX9YWo_8N498NJ9GNt_aCjOT7UF1ciyRvOwI48
54as65da4sd65a4d65a4d6a5sd46a54sd6a54d6a54d,VQK9I0G8_CCBmD6k43_lGCXf0s4h7BLcICfhUKki1Wk,wVo_07yH7s6i4vChkVKQLTAoSECH5HgaHr3YX8ofBns,0,,https://54as65da4sd65a4d65a4d6a5sd46a54sd6a54d6a54d.arweave.net,https://www.ao.link/#/entity/VQK9I0G8_CCBmD6k43_lGCXf0s4h7BLcICfhUKki1Wk,https://www.ao.link/#/entity/wVo_07yH7s6i4vChkVKQLTAoSECH5HgaHr3YX8ofBns
graphlink,I2ZpEIMT9a4klDOsnWJnmIZtjKv6rEkMHF5L-djiAAM,1JAZ2L3MxqmjOAu5OgmwiPIAkLMF3YYw_aXSV_ISKfY,0,,https://graphlink.arweave.net,https://www.ao.link/#/entity/I2ZpEIMT9a4klDOsnWJnmIZtjKv6rEkMHF5L-djiAAM,https://www.ao.link/#/entity/1JAZ2L3MxqmjOAu5OgmwiPIAkLMF3YYw_aXSV_ISKfY
codeqwen-chat-q3-k-m,e3wfdNfvbH7RuQLZmHnYECWz-RPbhLATlPU63ci6u84,6Z-ifqgVi1jOwMvSNwKWs6ewUEQ0gU9eo4aHYC3rN1M,0,,https://codeqwen-chat-q3-k-m.arweave.net,https://www.ao.link/#/entity/e3wfdNfvbH7RuQLZmHnYECWz-RPbhLATlPU63ci6u84,https://www.ao.link/#/entity/6Z-ifqgVi1jOwMvSNwKWs6ewUEQ0gU9eo4aHYC3rN1M
canduesed,IFhNm4ksKITIdfpXnTFy228tI003YDGh0xrLfWG_nlw,UdduK9fJ5AgvbHtBH35JtBiNwTSCSsZU6ZEyVeh5o6E,0,,https://canduesed.arweave.net,https://www.ao.link/#/entity/IFhNm4ksKITIdfpXnTFy228tI003YDGh0xrLfWG_nlw,https://www.ao.link/#/entity/UdduK9fJ5AgvbHtBH35JtBiNwTSCSsZU6ZEyVeh5o6E
parallel-computer,MtH58Y-O1gNQrYOMUWHCdhXhJwXfnjp2DNCpvWHk_7I,xb428aCfxuOFaIrSOBhh6z_TIowwH9p8IiHg_VWf2FM,0,,https://parallel-computer.arweave.net,https://www.ao.link/#/entity/MtH58Y-O1gNQrYOMUWHCdhXhJwXfnjp2DNCpvWHk_7I,https://www.ao.link/#/entity/xb428aCfxuOFaIrSOBhh6z_TIowwH9p8IiHg_VWf2FM
bazar,5hzUyF9djDPUJ0AfXpWOW91XuAzk1xvLYyyPeLvlRyw,jnbRhoH3JGTdRz0Y9X-gh-eosrbIpdxs58DPTtlOVE8,0,true,https://bazar.arweave.net,https://www.ao.link/#/entity/5hzUyF9djDPUJ0AfXpWOW91XuAzk1xvLYyyPeLvlRyw,https://www.ao.link/#/entity/jnbRhoH3JGTdRz0Y9X-gh-eosrbIpdxs58DPTtlOVE8
earlybirds,8786iSELyQOLj3aZnc0LlHhf6YW3kgltUTP8wrOyI1Y,TrnCnIGq1tx8TV8NA7L2ejJJmrywtwRfq9Q7yNV6g2A,0,,https://earlybirds.arweave.net,https://www.ao.link/#/entity/8786iSELyQOLj3aZnc0LlHhf6YW3kgltUTP8wrOyI1Y,https://www.ao.link/#/entity/TrnCnIGq1tx8TV8NA7L2ejJJmrywtwRfq9Q7yNV6g2A
holopolis,FQ6fbj7-vkfrGtIV4SpxokBII6Em5X8AyQ1EkbHxiDA,CnutUP9FOadHcG_C74Zq91zr_Ku6ehYMbkMTcYbABHQ,0,,https://holopolis.arweave.net,https://www.ao.link/#/entity/FQ6fbj7-vkfrGtIV4SpxokBII6Em5X8AyQ1EkbHxiDA,https://www.ao.link/#/entity/CnutUP9FOadHcG_C74Zq91zr_Ku6ehYMbkMTcYbABHQ
hello-world-more-characters-is-cheaper,qEvmdIhAC7mB67GosIHnXjJEFVmRsqHpqtJYpsrEnH4,31LPFYoow2G7j-eSSsrIh8OlNaARZ84-80J-8ba68d8,0,,https://hello-world-more-characters-is-cheaper.arweave.net,https://www.ao.link/#/entity/qEvmdIhAC7mB67GosIHnXjJEFVmRsqHpqtJYpsrEnH4,https://www.ao.link/#/entity/31LPFYoow2G7j-eSSsrIh8OlNaARZ84-80J-8ba68d8
cooltest,rDmsgHT_BVB1es44VDxepSHCpbVu-5KXp8CMnuK0r2U,Dzh6nTNjO_A3CdgQ11ZoVEyx9WlbMrBD8zAua5KS8Wk,0,,https://cooltest.arweave.net,https://www.ao.link/#/entity/rDmsgHT_BVB1es44VDxepSHCpbVu-5KXp8CMnuK0r2U,https://www.ao.link/#/entity/Dzh6nTNjO_A3CdgQ11ZoVEyx9WlbMrBD8zAua5KS8Wk
ethernodesmap,9eaYlD5HxvktCc3ZtoYV26Wn3ZJjFprxlC2rUtNXP-c,cTAjCmyteUycFexytR8s8xJ8y6UhYjN6qNFTqVXny-c,0,,https://ethernodesmap.arweave.net,https://www.ao.link/#/entity/9eaYlD5HxvktCc3ZtoYV26Wn3ZJjFprxlC2rUtNXP-c,https://www.ao.link/#/entity/cTAjCmyteUycFexytR8s8xJ8y6UhYjN6qNFTqVXny-c
meta-llama-3-8b-instruct-q4,NjNftcvId7EaP8IOyuUoExYn1_fDRh3Z6igms1m-a9E,98O1_xqDLrBKRfQPWjF5p7xZ4Jx6GM8P5PeJn26xwUY,0,,https://meta-llama-3-8b-instruct-q4.arweave.net,https://www.ao.link/#/entity/NjNftcvId7EaP8IOyuUoExYn1_fDRh3Z6igms1m-a9E,https://www.ao.link/#/entity/98O1_xqDLrBKRfQPWjF5p7xZ4Jx6GM8P5PeJn26xwUY
aluisyo,NfXw3qFXegfoMBZomE-ySKNjG4EBbKKXJArwz3d3pgg,yfpbuETfWZzVpkAOrofwnJhIHJRN6dn0FHBzuBhs2NE,0,,https://aluisyo.arweave.net,https://www.ao.link/#/entity/NfXw3qFXegfoMBZomE-ySKNjG4EBbKKXJArwz3d3pgg,https://www.ao.link/#/entity/yfpbuETfWZzVpkAOrofwnJhIHJRN6dn0FHBzuBhs2NE
eclipse,1YUOsnY73JrShLhNfBQa8e9LcuZYS70r5-JRb0N3C5g,9jfM0uzGNc9Mkhjo1ixGoqM7ygSem9wx_EokiVgi0Bs,0,,https://eclipse.arweave.net,https://www.ao.link/#/entity/1YUOsnY73JrShLhNfBQa8e9LcuZYS70r5-JRb0N3C5g,https://www.ao.link/#/entity/9jfM0uzGNc9Mkhjo1ixGoqM7ygSem9wx_EokiVgi0Bs
f564ew6f54we6f5we4w,DwPAnJfyDtgYy61BxyJrDh5tgI5EBHFJy7XGmZ0kXto,7waR8v4STuwPnTck1zFVkQqJh5K9q9Zik4Y5-5dV7nk,0,,https://f564ew6f54we6f5we4w.arweave.net,https://www.ao.link/#/entity/DwPAnJfyDtgYy61BxyJrDh5tgI5EBHFJy7XGmZ0kXto,https://www.ao.link/#/entity/7waR8v4STuwPnTck1zFVkQqJh5K9q9Zik4Y5-5dV7nk
aedfqawfqawfcqwfcqawff,S2PX04nK_vC9bSu8HzmycNZ3zxD6ntR0gUYgygR9DLI,e6Fmv1rBxKDQOrwS2BcKtYBRGvUmO0xHmAVD0Pf4R18,0,,https://aedfqawfqawfcqwfcqawff.arweave.net,https://www.ao.link/#/entity/S2PX04nK_vC9bSu8HzmycNZ3zxD6ntR0gUYgygR9DLI,https://www.ao.link/#/entity/e6Fmv1rBxKDQOrwS2BcKtYBRGvUmO0xHmAVD0Pf4R18
mfers,6Tugs25iHfOt3NFNFyoaKlUlKzAWgBSdAv_LNlP3rtM,6Z-ifqgVi1jOwMvSNwKWs6ewUEQ0gU9eo4aHYC3rN1M,0,,https://mfers.arweave.net,https://www.ao.link/#/entity/6Tugs25iHfOt3NFNFyoaKlUlKzAWgBSdAv_LNlP3rtM,https://www.ao.link/#/entity/6Z-ifqgVi1jOwMvSNwKWs6ewUEQ0gU9eo4aHYC3rN1M
morlzil2,hIpMb7CgI-S1fqonVq_dmATEd5QB3dWGJwu-BxjZIw0,3dTBoAtr9RA0DhNihHvcbInbsMO9nKscXyXarQ82uEM,0,,https://morlzil2.arweave.net,https://www.ao.link/#/entity/hIpMb7CgI-S1fqonVq_dmATEd5QB3dWGJwu-BxjZIw0,https://www.ao.link/#/entity/3dTBoAtr9RA0DhNihHvcbInbsMO9nKscXyXarQ82uEM
dumdumz,JV8ZFmL9DRaO9rYFqv40QSg4-umui9zoXSU_C97jBhI,s4JPHqCNvdVspEYm_BGd8SIRzVvsj9e4bMFcSnnRG5Q,0,,https://dumdumz.arweave.net,https://www.ao.link/#/entity/JV8ZFmL9DRaO9rYFqv40QSg4-umui9zoXSU_C97jBhI,https://www.ao.link/#/entity/s4JPHqCNvdVspEYm_BGd8SIRzVvsj9e4bMFcSnnRG5Q
dumdumdeploy,8FSJKMiuaeEdBWHdNTzlzRph2gkCTyXuv18CUGhGVR4,8iD-Gy_sKx98oth27JhjjP2V_xUSIGqs_8-skb63YHg,2,,https://dumdumdeploy.arweave.net,https://www.ao.link/#/entity/8FSJKMiuaeEdBWHdNTzlzRph2gkCTyXuv18CUGhGVR4,https://www.ao.link/#/entity/8iD-Gy_sKx98oth27JhjjP2V_xUSIGqs_8-skb63YHg
transactions,dKQ3fYQLvyzHuc0jXBvSCCbiMNJFPvqDP1U-QUhtnog,N4h8M9A9hasa3tF47qQyNvcKjm4APBKuFs7vqUVm-SI,0,,https://transactions.arweave.net,https://www.ao.link/#/entity/dKQ3fYQLvyzHuc0jXBvSCCbiMNJFPvqDP1U-QUhtnog,https://www.ao.link/#/entity/N4h8M9A9hasa3tF47qQyNvcKjm4APBKuFs7vqUVm-SI
